naics_cd,union_y_n,apprentice_id,ethnicity,gender,race,industry,occupation,education,active_adjust,start_wage_adjust,hud_state,state,appr_state,appr_county_fips,appr_county_name,starting_wage,exit_wage
238320,0.0,4852306,Hispanic or Latino,Male,Participant Did Not Self-Identify,Construction,PAINTER (Const),Not High School graduate,1,18.75,CA,CA,CA,06037,Los Angeles County,18.75,
238220,1.0,4852732,Non-Hispanic or Latino,Male,White,Construction,HEATING & AIR-CONDITIONER INSTALL/SER,High School graduate (including equivalency),1,22.31,IL,IL,IL,17197,Will County,22.31,
722511,0.0,4852983,Non-Hispanic or Latino,Female,White,Accommodation and Food Services,COOK (Hotel & Restaurant),Some College or Associate's degree,1,16.0,KS,KS,MO,29037,Cass County,16.0,
623110,0.0,4853422,Non-Hispanic or Latino,Female,Black or African American,Health Care and Social Assistance,COMMUNITY HEALTH WORKER,High School graduate (including equivalency),1,11.0,KY,KY,,,,11.0,
238320,1.0,4125928,Non-Hispanic or Latino,Male,White,Construction,PAINTER (Const),High School graduate (including equivalency),1,14.14,AL,AL,AL,01097,Mobile County,14.14,
238290,1.0,4126238,Non-Hispanic or Latino,Male,White,Construction,ELEVATOR CONSTRUCTOR (Alternate Title: Elevator Constructor Mechanic),High School graduate (including equivalency),1,24.35,UT,UT,UT,49035,Salt Lake County,24.35,
238220,1.0,4126603,Participant Did Not Self-Identify,Male,White,Construction,PIPE FITTER (Construction),High School graduate (including equivalency),1,17.62,OH,OH,OH,39095,Lucas County,17.62,
238210,0.0,4127054,Non-Hispanic or Latino,Male,White,Construction,ELECTRICIAN (Alternate Title: Interior Electrician),Some College or Associate's degree,1,12.0,NH,NH,NH,33013,Merrimack County,12.0,
928110,0.0,4128866,Participant Did Not Self-Identify,Male,Participant Did Not Self-Identify,Public Administration (not covered in economic census),Not Provided,Participant Did Not Self-Identify,0,0.0,USMAP,USMAP,USMAP,,,,
238220,1.0,4854069,Non-Hispanic or Latino,Male,White,Construction,HEATING & AIR-CONDITIONER INSTALL/SER,High School graduate (including equivalency),1,22.91,TN,TN,TN,47189,Wilson County,22.91,
236210,1.0,4854070,Non-Hispanic or Latino,Male,Black or African American,Construction,CONSTRUCTION CRAFT LABORER,Some College or Associate's degree,1,25.97,IL,IL,IL,17143,Peoria County,25.97,
928110,0.0,4129340,Hispanic or Latino,Male,Black or African American,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,4129359,Hispanic or Latino,Male,Participant Did Not Self-Identify,Public Administration (not covered in economic census),Not Provided,Bachelor's degree,0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,4130191,Non-Hispanic or Latino,Male,White,Public Administration (not covered in economic census),Not Provided,Participant Did Not Self-Identify,0,0.0,USMAP,USMAP,USMAP,,,,
237110,1.0,4133003,Participant Did Not Self-Identify,Male,Participant Did Not Self-Identify,Construction,LINE MAINTAINER (Alternate Title:  High Voltage Electrician),Participant Did Not Self-Identify,1,27.49,OH,ZA,MI,26017,Bay County,27.49,
236220,1.0,4133525,Hispanic or Latino,Male,Participant Did Not Self-Identify,Construction,CARPENTER,High School graduate (including equivalency),1,24.24,MA,MA,MA,25025,Suffolk County,24.24,
611513,1.0,4135772,Hispanic or Latino,Male,Participant Did Not Self-Identify,Educational Services,CARPENTER,Participant Did Not Self-Identify,1,19.57,CA,CA,CA,06073,San Diego County,19.57,
238220,1.0,4136185,Non-Hispanic or Latino,Male,White,Construction,Welder-Fitter,High School graduate (including equivalency),1,17.7,KY,KY,IN,18019,Clark County,17.7,
622110,0.0,4137907,Non-Hispanic or Latino,Female,White,Health Care and Social Assistance,Registered Nurse Resident,Some College or Associate's degree,1,33.71,NJ,NJ,NJ,34021,Mercer County,33.71,
622110,0.0,4138219,Non-Hispanic or Latino,Male,Black or African American,Health Care and Social Assistance,Registered Nurse Resident,Some College or Associate's degree,1,33.71,NJ,NJ,NJ,34021,Mercer County,33.71,
238350,1.0,4140147,Non-Hispanic or Latino,Male,White,Construction,CARPENTER,High School graduate (including equivalency),1,19.51,PA,PA,PA,42003,Allegheny County,19.51,
928110,0.0,4141418,Participant Did Not Self-Identify,Male,White,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,4142069,Hispanic or Latino,Female,White,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
238120,1.0,4145292,Hispanic or Latino,Male,Participant Did Not Self-Identify,Construction,REINFORCING METAL WORKER (Alternate Title: Ironworker Reinforcing Concrete),High School graduate (including equivalency),1,27.44,CA,CA,CA,06037,Los Angeles County,27.44,
238210,0.0,4145422,Participant Did Not Self-Identify,Female,Black or African American,Construction,ELECTRICIAN (Alternate Title: Interior Electrician),High School graduate (including equivalency),1,20.0,IN,IN,IN,18097,Marion County,20.0,
221122,1.0,4146213,Non-Hispanic or Latino,Male,White,Utilities,LINE REPAIRER,Some College or Associate's degree,1,32.74,CO,CO,CO,08043,Fremont County,32.74,
237110,1.0,4148509,Participant Did Not Self-Identify,Male,Participant Did Not Self-Identify,Construction,LINE MAINTAINER (Alternate Title:  High Voltage Electrician),Participant Did Not Self-Identify,1,27.12,OH,ZA,KY,21103,Henry County,27.12,
922160,1.0,4149349,Non-Hispanic or Latino,Male,Participant Did Not Self-Identify,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),1,15.0,CA,CA,CA,,,15.0,22.0
238350,1.0,4152360,Non-Hispanic or Latino,Male,White,Construction,CARPENTER,High School graduate (including equivalency),1,23.48,MO,MO,MO,29183,St. Charles County,23.48,
236220,0.0,4153292,Non-Hispanic or Latino,Male,White,Construction,ELECTRICIAN (Alternate Title: Interior Electrician),High School graduate (including equivalency),1,20.0,OH,OH,OH,39175,Wyandot County,20.0,
922160,1.0,4149485,Non-Hispanic or Latino,Male,Participant Did Not Self-Identify,Public Administration (not covered in economic census),Not Provided,Master's degree,1,15.0,CA,CA,CA,,,15.0,22.0
238990,1.0,4155255,Non-Hispanic or Latino,Male,White,Construction,CONSTRUCTION CRAFT LABORER,Participant Did Not Self-Identify,1,16.5,MI,MI,MI,26075,Jackson County,16.5,
922140,0.0,4155256,Hispanic or Latino,Male,Participant Did Not Self-Identify,Public Administration (not covered in economic census),"Welder, Combination",High School graduate (including equivalency),0,0.0,TX,TX,TX,48001,Anderson County,0.0,
624410,0.0,4155404,Non-Hispanic or Latino,Female,White,Health Care and Social Assistance,Level III: Early Childhood/Pre-K Teacher (Bachelor's Degree),Some College or Associate's degree,1,19.0,PA,PA,PA,42045,Delaware County,19.0,
928110,0.0,4157931,Hispanic or Latino,Male,White,Public Administration (not covered in economic census),Not Provided,Bachelor's degree,0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,4159362,Hispanic or Latino,Male,White,Public Administration (not covered in economic census),"DRIVER SERVICE PROVIDER (Existing Title: Truck Driver, Heavy)",High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
221122,1.0,4163061,Non-Hispanic or Latino,Male,White,Utilities,ELECTRICIAN (Alternate Title: Interior Electrician),High School graduate (including equivalency),1,17.88,TN,TN,TN,47031,Coffee County,17.88,
622110,0.0,4168155,Hispanic or Latino,Female,White,Health Care and Social Assistance,Registered Nurse Resident,Bachelor's degree,1,33.71,NJ,NJ,NJ,34021,Mercer County,33.71,
238990,1.0,4168340,Non-Hispanic or Latino,Male,Black or African American,Construction,CONSTRUCTION CRAFT LABORER,High School graduate (including equivalency),1,20.33,CA,CA,CA,06067,Sacramento County,20.33,
423330,1.0,4169577,Hispanic or Latino,Male,Participant Did Not Self-Identify,Wholesale Trade,ROOFER,High School graduate (including equivalency),1,25.69,IL,IL,IL,17031,Cook County,25.69,
928110,0.0,4170138,Non-Hispanic or Latino,Male,Black or African American,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,4170593,Non-Hispanic or Latino,Male,White,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,4170778,Participant Did Not Self-Identify,Male,White,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
238320,1.0,2320714,Hispanic or Latino,Male,White,Construction,TAPER (Alternate Title: Drywall Finisher),High School graduate (including equivalency),1,27.15,CA,CA,CA,06013,Contra Costa County,27.15,
221122,1.0,2322343,Non-Hispanic or Latino,Male,White,Utilities,ELECTRICIAN (Alternate Title: Interior Electrician),High School graduate (including equivalency),1,16.32,NJ,NJ,NJ,34039,Union County,16.32,
,,3213919,Non-Hispanic or Latino,Male,White,Not Provided,Not Provided,High School graduate (including equivalency),0,0.0,MA,MA,MA,,,0.0,0.0
238210,0.0,3214818,Non-Hispanic or Latino,Male,White,Construction,ELECTRICIAN (Alternate Title: Interior Electrician),High School graduate (including equivalency),1,11.5,PA,PA,PA,42041,Cumberland County,11.5,
238140,1.0,3215697,Participant Did Not Self-Identify,Male,White,Construction,"TUCKPOINTER, CLEANER, CAULKER",High School graduate (including equivalency),1,23.38,PA,PA,NJ,34015,Gloucester County,23.38,
611513,1.0,3216500,Participant Did Not Self-Identify,Male,White,Educational Services,ELECTRICIAN (Alternate Title: Interior Electrician),Participant Did Not Self-Identify,1,16.8,MO,MO,MO,29183,St. Charles County,16.8,
339999,0.0,3217874,Hispanic or Latino,Male,Participant Did Not Self-Identify,Manufacturing,TOOL AND DIE MAKER,High School graduate (including equivalency),1,26.99,OH,OH,OH,39143,Sandusky County,26.99,
221122,1.0,3221987,Non-Hispanic or Latino,Male,White,Utilities,LINE MAINTAINER (Alternate Title:  High Voltage Electrician),High School graduate (including equivalency),1,27.87,IA,IA,KS,20045,Douglas County,27.87,
517311,0.0,4902474,Participant Did Not Self-Identify,Male,White,Not Provided,TELECOMMUNICATIONS TECHNICIAN  (Alternate Title: Broadband Technician),High School graduate (including equivalency),1,20.0,NC,ZA,NC,37183,Wake County,20.0,
238220,1.0,4903603,Non-Hispanic or Latino,Male,White,Construction,SHEET METAL WORKER,Participant Did Not Self-Identify,1,27.74,MO,MO,MO,29047,Clay County,27.74,
611310,,4903743,Non-Hispanic or Latino,Female,Black or African American,Educational Services,Not Provided,High School graduate (including equivalency),1,17.0,VA,DC,DC,,,17.0,33.99
238350,1.0,4904804,Non-Hispanic or Latino,Male,White,Construction,CARPENTER,High School graduate (including equivalency),1,19.81,OH,OH,OH,39147,Seneca County,19.81,
621610,0.0,4905530,Non-Hispanic or Latino,Female,White,Health Care and Social Assistance,"Nurse, Licensed Practical",Some College or Associate's degree,1,26.0,NJ,NJ,NJ,34001,Atlantic County,26.0,
,1.0,4906240,Non-Hispanic or Latino,Male,American Indian or Alaska Native,Not Provided,Not Provided,High School graduate (including equivalency),1,26.54,WA,WA,WA,,,26.54,
,,4906376,Participant Did Not Self-Identify,Male,White,Not Provided,Not Provided,High School graduate (including equivalency),1,14.49,ID,WA,WA,,,14.49,
,1.0,4907069,Hispanic or Latino,Male,Participant Did Not Self-Identify,Not Provided,Not Provided,High School graduate (including equivalency),1,22.87,WA,WA,WA,,,22.87,
238210,1.0,4908226,Non-Hispanic or Latino,Male,Black or African American,Construction,ELECTRICIAN (Alternate Title: Interior Electrician),Bachelor's degree,1,15.0,GA,GA,GA,13089,DeKalb County,15.0,
236220,0.0,4908782,Hispanic or Latino,Male,American Indian or Alaska Native,Construction,"Welder, Combination",High School graduate (including equivalency),1,21.0,TX,TX,TX,48113,Dallas County,21.0,
238220,0.0,4454323,Non-Hispanic or Latino,Male,White,Construction,HEATING & AIR-CONDITIONER INSTALL/SER,Some College or Associate's degree,1,25.0,IA,IA,IA,19059,Dickinson County,25.0,
928110,0.0,4454474,Non-Hispanic or Latino,Male,Multiracial,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,4455285,Non-Hispanic or Latino,Male,White,Public Administration (not covered in economic census),Not Provided,Bachelor's degree,0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,4455484,Participant Did Not Self-Identify,Female,Participant Did Not Self-Identify,Public Administration (not covered in economic census),Not Provided,"9th to 12th grade, no diploma",0,0.0,USMAP,USMAP,USMAP,,,,
238210,1.0,4198174,Non-Hispanic or Latino,Male,White,Construction,ELECTRICIAN (Alternate Title: Interior Electrician),High School graduate (including equivalency),1,14.6,IN,IN,MI,26027,Cass County,14.6,
238120,1.0,3223673,Non-Hispanic or Latino,Male,White,Construction,STRUCTURAL STEEL WORKER (Alternate Titles: Ironworker or Structural Ironworker),High School graduate (including equivalency),1,18.1,OH,OH,OH,39151,Stark County,18.1,
922140,1.0,3224676,Non-Hispanic or Latino,Male,White,Public Administration (not covered in economic census),CORRECTION OFFICER,High School graduate (including equivalency),0,0.0,PA,PA,,,,20.32,
611210,,3228657,Non-Hispanic or Latino,Male,White,Educational Services,Not Provided,High School graduate (including equivalency),1,15.0,NC,NC,NC,,,15.0,
922160,1.0,3229177,Non-Hispanic or Latino,Male,Asian,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),1,15.0,CA,CA,CA,,,15.0,22.0
812320,,3230048,Hispanic or Latino,Female,Participant Did Not Self-Identify,Other Services (except Public Administration),Not Provided,Master's degree,1,15.0,CA,CA,CA,,,15.0,22.0
812320,,3230982,Hispanic or Latino,Male,Participant Did Not Self-Identify,Other Services (except Public Administration),Not Provided,Participant Did Not Self-Identify,1,15.0,CA,CA,CA,,,15.0,22.0
928110,0.0,3460673,Non-Hispanic or Latino,Male,White,Public Administration (not covered in economic census),Not Provided,Bachelor's degree,0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,3508067,Non-Hispanic or Latino,Male,White,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,3600500,Participant Did Not Self-Identify,Female,White,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,4022822,Non-Hispanic or Latino,Male,Multiracial,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,4022834,Non-Hispanic or Latino,Female,White,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,4023778,Non-Hispanic or Latino,Female,White,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,4025082,Participant Did Not Self-Identify,Female,Black or African American,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
928110,0.0,4027306,Non-Hispanic or Latino,Male,Black or African American,Public Administration (not covered in economic census),Not Provided,High School graduate (including equivalency),0,0.0,USMAP,USMAP,USMAP,,,,
238140,1.0,4086717,Non-Hispanic or Latino,Male,White,Construction,Bricklayer (Construction),High School graduate (including equivalency),1,29.14,IL,IL,IL,17197,Will County,29.14,
,1.0,4087094,Non-Hispanic or Latino,Male,White,Not Provided,Not Provided,Participant Did Not Self-Identify,0,0.0,NY,NY,NY,,,,
,1.0,4087130,Participant Did Not Self-Identify,Male,White,Not Provided,Not Provided,Participant Did Not Self-Identify,0,0.0,NY,NY,NY,,,,
238220,1.0,4088836,Participant Did Not Self-Identify,Male,White,Construction,PIPE FITTER (Construction),High School graduate (including equivalency),1,13.2,ID,ID,ID,16001,Ada County,13.2,
611513,1.0,4089140,Hispanic or Latino,Male,Participant Did Not Self-Identify,Educational Services,PAINTER (Const),High School graduate (including equivalency),1,18.26,CA,CA,CA,06037,Los Angeles County,18.26,
